   UT, hrs       ALT, km       Ne, el/m^3  
    10.10          595.0     2.937e+10 
    10.10          600.0     3.275e+10 
    10.20           90.0     1.964e+10 
    10.20           95.0     1.694e+10 
    10.20          100.0     1.930e+10 
    10.20          105.0     2.297e+10 
    10.20          110.0     2.422e+10 
    10.20          115.0     2.598e+10 
    10.20          120.0     2.918e+10 
    10.20          125.0     3.162e+10 
    10.20          130.0     3.307e+10 
    10.20          135.0     3.621e+10 
    10.20          140.0     3.984e+10 
    10.20          145.0     3.926e+10 
    10.20          150.0     4.106e+10 
    10.20          155.0     4.074e+10 
    10.20          160.0     4.175e+10 
    10.20          165.0     4.177e+10 
    10.20          170.0     4.729e+10 
    10.20          175.0     4.956e+10 
    10.20          180.0     5.358e+10 
    10.20          185.0     5.616e+10 
    10.20          190.0     6.019e+10 
    10.20          195.0     6.283e+10 
    10.20          200.0     6.587e+10 
    10.20          205.0     6.950e+10 
    10.20          210.0     7.089e+10 
    10.20          215.0     7.272e+10 
    10.20          220.0     7.561e+10 
    10.20          225.0     7.847e+10 
    10.20          230.0     8.057e+10 
    10.20          235.0     8.469e+10 
    10.20          240.0     8.790e+10 
    10.20          245.0     8.961e+10 
    10.20          250.0     9.041e+10 
    10.20          255.0     9.061e+10 
    10.20          260.0     9.017e+10 
    10.20          265.0     8.906e+10 
    10.20          270.0     8.787e+10 
    10.20          275.0     8.658e+10 
    10.20          280.0     8.490e+10 
    10.20          285.0     8.286e+10 
    10.20          290.0     8.051e+10 
    10.20          295.0     7.769e+10 
    10.20          300.0     7.409e+10 
    10.20          305.0     7.003e+10 
    10.20          310.0     6.558e+10 
    10.20          315.0     6.116e+10 
    10.20          320.0     5.704e+10 
    10.20          325.0     5.354e+10 
    10.20          330.0     5.062e+10 
    10.20          335.0     4.842e+10 
    10.20          340.0     4.653e+10 
    10.20          345.0     4.477e+10 
    10.20          350.0     4.312e+10 
    10.20          355.0     4.157e+10 
    10.20          360.0     3.991e+10 
    10.20          365.0     3.814e+10 
    10.20          370.0     3.634e+10 
    10.20          375.0     3.451e+10 
    10.20          380.0     3.266e+10 
    10.20          385.0     3.099e+10 
    10.20          390.0     2.978e+10 
    10.20          395.0     2.887e+10 
    10.20          400.0     2.815e+10 
    10.20          405.0     2.733e+10 
    10.20          410.0     2.616e+10 
    10.20          415.0     2.455e+10 
    10.20          420.0     2.276e+10 
    10.20          425.0     2.156e+10 
    10.20          430.0     2.121e+10 
    10.20          435.0     2.177e+10 
    10.20          440.0     2.249e+10 
    10.20          445.0     2.278e+10 
    10.20          450.0     2.194e+10 
    10.20          455.0     1.998e+10 
    10.20          460.0     1.783e+10 
    10.20          465.0     1.614e+10 
    10.20          470.0     1.547e+10 
    10.20          475.0     1.578e+10 
    10.20          480.0     1.698e+10 
    10.20          485.0     1.806e+10 
    10.20          490.0     1.888e+10 
    10.20          495.0     1.909e+10 
    10.20          500.0     1.869e+10 
    10.20          505.0     1.790e+10 
    10.20          510.0     1.694e+10 
    10.20          515.0     1.626e+10 
    10.20          520.0     1.600e+10 
    10.20          525.0     1.606e+10 
    10.20          530.0     1.610e+10 
    10.20          535.0     1.587e+10 
    10.20          540.0     1.511e+10 
    10.20          545.0     1.398e+10 
    10.20          550.0     1.287e+10 
    10.20          555.0     1.198e+10 
    10.20          560.0     1.146e+10 
    10.20          565.0     1.169e+10 
    10.20          570.0     1.352e+10 
    10.20          575.0     1.650e+10 
    10.20          580.0     2.054e+10 
    10.20          585.0     2.290e+10 
    10.20          590.0     2.600e+10 
    10.20          595.0     2.881e+10 
    10.20          600.0     3.148e+10 
    10.30           90.0     2.269e+10 
    10.30           95.0     2.003e+10 
    10.30          100.0     2.246e+10 
    10.30          105.0     2.603e+10 
    10.30          110.0     2.750e+10 
    10.30          115.0     2.932e+10 
    10.30          120.0     3.228e+10 
    10.30          125.0     3.433e+10 
    10.30          130.0     3.551e+10 
    10.30          135.0     3.822e+10 
    10.30          140.0     4.190e+10 
    10.30          145.0     4.261e+10 
    10.30          150.0     4.494e+10 
    10.30          155.0     4.567e+10 
    10.30          160.0     4.782e+10 
    10.30          165.0     4.865e+10 
    10.30          170.0     5.355e+10 
    10.30          175.0     5.604e+10 
    10.30          180.0     6.007e+10 
    10.30          185.0     6.264e+10 
    10.30          190.0     6.685e+10 
    10.30          195.0     7.032e+10 
    10.30          200.0     7.409e+10 
    10.30          205.0     7.783e+10 
    10.30          210.0     7.880e+10 
    10.30          215.0     8.009e+10 
    10.30          220.0     8.238e+10 
    10.30          225.0     8.480e+10 
    10.30          230.0     8.669e+10 
    10.30          235.0     9.095e+10 
    10.30          240.0     9.424e+10 
    10.30          245.0     9.595e+10 
    10.30          250.0     9.678e+10 
    10.30          255.0     9.709e+10 
    10.30          260.0     9.679e+10 
    10.30          265.0     9.589e+10 
    10.30          270.0     9.485e+10 
    10.30          275.0     9.371e+10 
    10.30          280.0     9.209e+10 
    10.30          285.0     9.004e+10 
    10.30          290.0     8.760e+10 
    10.30          295.0     8.466e+10 
    10.30          300.0     8.101e+10 
    10.30          305.0     7.696e+10 
    10.30          310.0     7.263e+10 
    10.30          315.0     6.838e+10 
    10.30          320.0     6.446e+10 
    10.30          325.0     6.108e+10 
    10.30          330.0     5.826e+10 
    10.30          335.0     5.602e+10 
    10.30          340.0     5.403e+10 
    10.30          345.0     5.210e+10 
    10.30          350.0     5.021e+10 
    10.30          355.0     4.835e+10 
    10.30          360.0     4.642e+10 
    10.30          365.0     4.437e+10 
    10.30          370.0     4.235e+10 
    10.30          375.0     4.040e+10 
    10.30          380.0     3.850e+10 
    10.30          385.0     3.674e+10 
    10.30          390.0     3.528e+10 
    10.30          395.0     3.400e+10 
    10.30          400.0     3.270e+10 
    10.30          405.0     3.136e+10 
    10.30          410.0     2.992e+10 
    10.30          415.0     2.831e+10 
    10.30          420.0     2.673e+10 
    10.30          425.0     2.588e+10 
